boundary	label_time	candidate_pause_start	candidate_pause_end	adopted_cut	previous_final_word	next_first_word	tail_complete	next_word_not_started	status	verification_basis
Genesis 21:22→21:23	16.413424	16.499300	16.780200	16.700000	עֹשֶֽׂה׃	וְעַתָּ֗ה	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:23→21:24	34.432109	34.501000	35.065500	34.980000	בָּֽהּ׃	וַיֹּ֙אמֶר֙	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:24→21:25	38.495601	38.399100	38.842600	38.760000	אִשָּׁבֵֽעַ׃	וְהוֹכִ֥חַ	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:25→21:26	46.158186	46.027300	47.555100	47.430000	אֲבִימֶֽלֶךְ׃	וַיֹּ֣אמֶר	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:26→21:27	63.828571	63.697400	64.394300	64.300000	הַיּֽוֹם׃	וַיִּקַּ֤ח	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:27→21:28	72.118095	72.064600	73.209500	73.080000	בְּרִֽית׃	וַיַּצֵּ֣ב	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:28→21:29	80.546939	80.540000	81.338100	81.240000	לְבַדְּהֶֽן׃	וַיֹּ֥אמֶר	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:29→21:30	91.692517	91.600100	92.556700	92.460000	לְבַדָּֽנָה׃	וַיֹּ֕אמֶר	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:30→21:31	103.906213	103.710000	104.137000	104.050000	הַזֹּֽאת׃	עַל־כֵּ֗ן	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:31→21:32	113.356735	113.445000	113.621000	113.560000	שְׁנֵיהֶֽם׃	וַיִּכְרְת֥וּ	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:32→21:33	124.804172	124.934000	125.292000	125.220000	פְּלִשְׁתִּֽים׃	וַיִּטַּ֥ע	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
Genesis 21:33→21:34	131.932698	131.997000	132.265000	132.200000	עוֹלָֽם׃	וַיָּ֧גׇר	true	true	verified	actual PocketTorah source signal: shared cut lies strictly inside detected inter-verse silence; official Sefaria ref mapping + WLC-aligned verse text identify adjacent verses
